State,City,Turnout,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Illinois,Chicago,250000,41.88531,-87.62213,1,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Elgin,600,42.034492,-88.238396,1,place,,,,,Elgin,IL,"Kane County",60120,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Galesburg,300,40.944559,-90.385282,1,place,,,,,Galesburg,IL,"Knox County",61401,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Maryville,45,38.713829,-89.965751,1,place,,,,,Maryville,IL,"Madison County",62062,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Peoria,1750,40.693137,-89.589847,1,place,,,,,Peoria,IL,"Peoria County",61601,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Rockford,1000,42.33342,-89.157198,1,place,,,,,Rockford,IL,"Winnebago County",61101,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Springfield,1000,39.800698,-89.648801,1,place,,,,,Springfield,IL,"Sangamon County",62701,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,Evansville,200,37.997128,-87.574963,1,place,,,,,Evansville,IN,"Vanderburgh County",47701,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,"Fort Wayne",1000,41.093763,-85.070713,1,place,,,,,"Fort Wayne",IN,"Allen County",46801,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,Indianapolis,4750,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,"Marion County",46201,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,Lafayette,800,40.417778,-86.889633,1,place,,,,,Lafayette,IN,"Tippecanoe County",47901,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,Paoli,67,38.513132,-86.459473,1,place,,,,,Paoli,IN,"Orange County",47454,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,"South Bend",1000,41.673383,-86.251654,1,place,,,,,"South Bend",IN,"St. Joseph County",46601,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,"St. Mary of the Woods",200,39.514586,-87.459799,0.9,place,,,,,"Saint Mary Of The Woods",IN,"Vigo County",47876,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,"Terre Haute",200,39.433602,-87.410094,1,place,,,,,"Terre Haute",IN,"Vigo County",47801,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,Valparaiso,380,41.454731,-87.065565,1,place,,,,,Valparaiso,IN,"Porter County",46383,US,"TIGER/Line® dataset from the US Census Bureau"
Iowa,Bettendorf,100,41.52448,-90.51569,1,place,,,,,Bettendorf,IA,"Scott County",52722,US,"TIGER/Line® dataset from the US Census Bureau"
Iowa,Decorah,900,43.294252,-91.789582,1,place,,,,,Decorah,IA,"Winneshiek County",52101,US,"TIGER/Line® dataset from the US Census Bureau"
Iowa,"Des Moines",26000,41.672687,-93.572173,1,place,,,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
Iowa,Dubuque,400,42.545412,-90.6963,1,place,,,,,Dubuque,IA,"Dubuque County",52001,US,"TIGER/Line® dataset from the US Census Bureau"
Iowa,"Iowa City",1000,41.634209,-91.49905,1,place,,,,,"Iowa City",IA,"Johnson County",52240,US,"TIGER/Line® dataset from the US Census Bureau"
Kansas,Topeka,4200,38.988075,-95.780662,1,place,,,,,Topeka,KS,"Shawnee County",66601,US,"TIGER/Line® dataset from the US Census Bureau"
Kansas,Wichita,3000,37.651974,-97.258997,1,place,,,,,Wichita,KS,"Sedgwick County",67201,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,Lexington,5000,38.037847,-84.61645,1,place,,,,,Lexington,KY,"Fayette County",40501,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,Louisville,5000,38.188962,-85.676819,1,place,,,,,Louisville,KY,"Jefferson County",40201,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,Murray,700,36.625349,-88.279562,1,place,,,,,Murray,KY,"Calloway County",42071,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,Pikeville,100,37.514701,-82.513615,1,place,,,,,Pikeville,KY,"Pike County",41501,US,"TIGER/Line® dataset from the US Census Bureau"
Louisiana,Monroe,0,32.502833,-92.094583,1,place,,,,,Monroe,LA,"Ouachita Parish",71201,US,"TIGER/Line® dataset from the US Census Bureau"
Louisiana,"New Orleans",12500,29.958304,-90.077,1,place,,,,,"New Orleans",LA,"Orleans Parish",70112,US,"TIGER/Line® dataset from the US Census Bureau"
Louisiana,Shreveport,100,32.498202,-93.750228,1,place,,,,,Shreveport,LA,"Caddo Parish",71101,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Augusta,10000,44.351642,-69.803773,1,place,,,,,Augusta,ME,"Kennebec County",04330,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Brunswick,300,43.91172,-69.9405,1,place,,,,,Brunswick,ME,"Cumberland County",04011,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Eastport,111,44.91667,-67,1,place,,,,,Eastport,ME,"Washington County",04631,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Ellsworth,60,44.477935,-68.356311,1,place,,,,,Ellsworth,ME,"Hancock County",04605,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,"Fort Kent",0,47.26484,-68.58101,1,place,,,,,"Fort Kent",ME,"Aroostook County",04743,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Gouldsboro,35,44.483471,-68.090339,1,place,,,,,Gouldsboro,ME,"Hancock County",04607,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Kennebunk,100,43.38409,-70.54419,1,place,,,,,Kennebunk,ME,"York County",04043,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Lubec,100,44.904288,-67.040767,1,place,,,,,Lubec,ME,"Washington County",04652,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,"Monhegan Island",22,43.76231,-69.32032,1,place,,,,,Monhegan,ME,"Lincoln County",04852,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Portland,10000,43.658784,-70.262393,1,place,,,,,Portland,ME,"Cumberland County",04101,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Sanford,0,43.44007,-70.78015,1,place,,,,,Sanford,ME,"York County",04073,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Surry,0,44.49591,-68.50169,1,place,,,,,Surry,ME,"Hancock County",04684,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,"Tenants Harbor",55,43.963129,-69.213329,1,place,,,,,"Tenants Harbor",ME,"Knox County",04860,US,"TIGER/Line® dataset from the US Census Bureau"
Maine,Vinalhaven,88,44.08511,-68.841965,1,place,,,,,Vinalhaven,ME,"Knox County",04863,US,"TIGER/Line® dataset from the US Census Bureau"
Maryland,Accident,54,39.6287,-79.31976,1,place,,,,,Accident,MD,"Garrett County",21520,US,"TIGER/Line® dataset from the US Census Bureau"
Maryland,Annapolis,1600,38.98775,-76.5528,1,place,,,,,Annapolis,MD,"Anne Arundel County",21401,US,"TIGER/Line® dataset from the US Census Bureau"
Maryland,Baltimore,5000,39.296536,-76.623489,1,place,,,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau"
Maryland,Frederick,1000,39.443551,-77.33294,1,place,,,,,Frederick,MD,"Frederick County",21701,US,"TIGER/Line® dataset from the US Census Bureau"
Maryland,"Ocean City",100,38.350536,-75.12888,1,place,,,,,"Ocean City",MD,"Worcester County",21842,US,"TIGER/Line® dataset from the US Census Bureau"
Maryland,"St. Mary's City",10,38.18707,-76.4344,1,place,,,,,"Saint Marys City",MD,"St. Mary's County",20686,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,Boston,162500,42.370567,-71.026964,1,place,,,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,Falmouth,1500,41.57419,-70.628285,1,place,,,,,Falmouth,MA,"Barnstable County",02540,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,Greenfield,2000,42.601335,-72.623619,1,place,,,,,Greenfield,MA,"Franklin County",01301,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,"Martha's Vineyard",100,41.458594,-70.61592,0.67,place,,,,,"Vineyard Haven",MA,"Dukes County",02568,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,Nantucket,400,41.287647,-70.08665,1,place,,,,,Nantucket,MA,"Nantucket County",02554,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,Northampton,1000,42.321488,-72.630588,1,place,,,,,Northampton,MA,"Hampshire County",01060,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,Pittsfield,1640,42.479475,-73.24807,1,place,,,,,Pittsfield,MA,"Berkshire County",01201,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,Provincetown,300,42.05844,-70.17864,1,place,,,,,Provincetown,MA,"Barnstable County",02657,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,Wellfleet,113,41.93761,-70.0328,1,place,,,,,Wellfleet,MA,"Barnstable County",02667,US,"TIGER/Line® dataset from the US Census Bureau"
Massachusetts,Worcester,0,42.265275,-71.879415,1,place,,,,,Worcester,MA,"Worcester County",01601,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Adrian,140,41.889943,-84.065892,1,place,,,,,Adrian,MI,"Lenawee County",49221,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,"Ann Arbor",11000,42.266638,-83.849042,1,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Brighton,300,42.570452,-83.74763,1,place,,,,,Brighton,MI,"Livingston County",48114,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Clare,24,43.81947,-84.76863,1,place,,,,,Clare,MI,"Clare County",48617,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Detroit,4000,42.347021,-83.060184,1,place,,,,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Douglas-Saugatuck,1850,42.645611,-86.165451,1,place,,,,,Saugatuck,MI,"Allegan County",49453,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,"Grand Rapids",100,42.984226,-85.629101,1,place,,,,,"Grand Rapids",MI,"Kent County",49501,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,"Grosse Pointe",1222,42.382395,-82.921842,1,place,,,,,"Grosse Pointe",MI,"Wayne County",48230,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Houghton,500,47.105336,-88.548157,1,place,,,,,Houghton,MI,"Houghton County",49931,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Kalamazoo,1000,42.264543,-85.561545,1,place,,,,,Kalamazoo,MI,"Kalamazoo County",49001,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Lansing,10000,42.599184,-84.371973,1,place,,,,,Lansing,MI,"Ingham County",48901,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Marquette,500,46.54354,-87.39542,1,place,,,,,Marquette,MI,"Marquette County",49855,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Midland,400,43.626132,-84.33803,1,place,,,,,Midland,MI,"Midland County",48640,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,"Sault Ste Marie",40,43.046851,-84.900482,0.67,place,,,,,Muir,MI,"Ionia County",48860,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Tecumseh,35,42.008398,-83.922214,1,place,,,,,Tecumseh,MI,"Lenawee County",49286,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,"Traverse City",3000,44.693963,-85.676342,1,place,,,,,"Traverse City",MI,"Grand Traverse County",49684,US,"TIGER/Line® dataset from the US Census Bureau"
Michigan,Ypsilanti,1500,42.202139,-83.620494,1,place,,,,,Ypsilanti,MI,"Washtenaw County",48197,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,Bemidji,375,47.571964,-94.801272,1,place,,,,,Bemidji,MN,"Beltrami County",56601,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,Cambridge,22,45.602457,-93.263457,1,place,,,,,Cambridge,MN,"Isanti County",55008,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,Duluth,1400,47.005566,-92.001934,1,place,,,,,Duluth,MN,"St. Louis County",55801,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,Ely,50,47.918943,-92.020778,1,place,,,,,Ely,MN,"St. Louis County",55731,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,"Grand Marais",120,47.872285,-90.42294,1,place,,,,,"Grand Marais",MN,"Cook County",55604,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,Longville,67,46.994097,-94.243551,1,place,,,,,Longville,MN,"Cass County",56655,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,Mankato,50,44.128325,-93.978863,1,place,,,,,Mankato,MN,"Blue Earth County",56001,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,Minneapolis,100,44.984577,-93.269097,1,place,,,,,Minneapolis,MN,"Hennepin County",55401,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,Morris,250,45.595739,-95.923233,1,place,,,,,Morris,MN,"Stevens County",56267,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,Rochester,800,44.075285,-92.516916,1,place,,,,,Rochester,MN,"Olmsted County",55901,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,"St. Cloud",40,45.519196,-94.330619,1,place,,,,,"Saint Cloud",MN,"Stearns County",56301,US,"TIGER/Line® dataset from the US Census Bureau"
Minnesota,"St. Paul",95000,44.951483,-93.090649,1,place,,,,,"Saint Paul",MN,"Ramsey County",55101,US,"TIGER/Line® dataset from the US Census Bureau"
Mississippi,Gulfport,300,30.382966,-89.102426,1,place,,,,,Gulfport,MS,"Harrison County",39501,US,"TIGER/Line® dataset from the US Census Bureau"
Mississippi,Hattiesburg,0,31.245138,-89.28071,1,place,,,,,Hattiesburg,MS,"Forrest County",39401,US,"TIGER/Line® dataset from the US Census Bureau"
Mississippi,Jackson,1000,32.289656,-90.184201,1,place,,,,,Jackson,MS,"Hinds County",39201,US,"TIGER/Line® dataset from the US Census Bureau"
Mississippi,Oxford,450,34.330814,-89.483519,1,place,,,,,Oxford,MS,"Lafayette County",38655,US,"TIGER/Line® dataset from the US Census Bureau"
Missouri,Columbia,2000,38.894165,-92.274145,1,place,,,,,Columbia,MO,"Boone County",65201,US,"TIGER/Line® dataset from the US Census Bureau"
Missouri,"Kansas City",10000,39.102404,-94.598583,1,place,,,,,"Kansas City",MO,"Jackson County",64101,US,"TIGER/Line® dataset from the US Census Bureau"
Missouri,Springfield,2000,37.25807,-93.343673,1,place,,,,,Springfield,MO,"Greene County",65801,US,"TIGER/Line® dataset from the US Census Bureau"
Missouri,"St. Louis",13000,38.631501,-90.19231,1,place,,,,,"Saint Louis",MO,"St. Louis city",63101,US,"TIGER/Line® dataset from the US Census Bureau"
Montana,Bozeman,13,45.82641,-110.898799,1,place,,,,,Bozeman,MT,"Gallatin County",59715,US,"TIGER/Line® dataset from the US Census Bureau"
Montana,Helena,10000,46.527398,-112.21037,1,place,,,,,Helena,MT,"Lewis and Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
Montana,Missoula,85,46.856398,-114.014338,1,place,,,,,Missoula,MT,"Missoula County",59801,US,"TIGER/Line® dataset from the US Census Bureau"
Nebraska,Lincoln,2900,40.865142,-96.823133,1,place,,,,,Lincoln,NE,"Lancaster County",68501,US,"TIGER/Line® dataset from the US Census Bureau"
Nebraska,"Loup City",125,41.276435,-98.966954,1,place,,,,,"Loup City",NE,"Sherman County",68853,US,"TIGER/Line® dataset from the US Census Bureau"
Nebraska,Omaha,13000,41.291736,-96.171104,1,place,,,,,Omaha,NE,"Douglas County",68101,US,"TIGER/Line® dataset from the US Census Bureau"
Nevada,"Las Vegas",5000,36.17372,-115.10647,1,place,,,,,"Las Vegas",NV,"Clark County",89101,US,"TIGER/Line® dataset from the US Census Bureau"
Nevada,Reno,10000,39.525749,-119.813051,1,place,,,,,Reno,NV,"Washoe County",89501,US,"TIGER/Line® dataset from the US Census Bureau"
Nevada,Stateline,500,38.96745,-119.944,1,place,,,,,Stateline,NV,"Douglas County",89449,US,"TIGER/Line® dataset from the US Census Bureau"
"New Hampshire",Concord,1000,43.230314,-71.536101,1,place,,,,,Concord,NH,"Merrimack County",03301,US,"TIGER/Line® dataset from the US Census Bureau"
"New Hampshire",Francestown,134,42.98758,-71.81258,1,place,,,,,Francestown,NH,"Hillsborough County",03043,US,"TIGER/Line® dataset from the US Census Bureau"
"New Hampshire",Jackson,300,44.14423,-71.18091,1,place,,,,,Jackson,NH,"Carroll County",03846,US,"TIGER/Line® dataset from the US Census Bureau"
"New Hampshire",Keene,300,42.965044,-72.294803,1,place,,,,,Keene,NH,"Cheshire County",03431,US,"TIGER/Line® dataset from the US Census Bureau"
"New Hampshire",Lancaster,400,44.476575,-71.561225,1,place,,,,,Lancaster,NH,"Coos County",03584,US,"TIGER/Line® dataset from the US Census Bureau"
"New Hampshire",Portsmouth,4000,43.005895,-71.013202,1,place,,,,,Portsmouth,NH,"Rockingham County",00210,US,"TIGER/Line® dataset from the US Census Bureau"
"New Hampshire",Wilton,200,42.84704,-71.73784,1,place,,,,,Wilton,NH,"Hillsborough County",03086,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey","Asbury Park",6000,40.250725,-74.048582,1,place,,,,,"Asbury Park",NJ,"Monmouth County",07712,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey",Leonia,250,40.863499,-73.987132,1,place,,,,,Leonia,NJ,"Bergen County",07605,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey","Mt. Laurel",20,39.955912,-74.91731,1,place,,,,,"Mount Laurel",NJ,"Burlington County",08054,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey","Pequannock Township/Pompton Plains",900,40.948208,-74.295592,1,place,,,,,Pequannock,NJ,"Morris County",07440,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey","Red Bank",200,40.358409,-74.068143,1,place,,,,,"Red Bank",NJ,"Monmouth County",07701,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey",Sicklerville,200,39.747558,-74.970462,1,place,,,,,Sicklerville,NJ,"Camden County",08081,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey","South Orange",200,40.745772,-74.267541,1,place,,,,,"South Orange",NJ,"Essex County",07079,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey",Trenton,6750,40.280531,-74.712018,1,place,,,,,Trenton,NJ,"Mercer County",08601,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey",Westfield,1000,40.652851,-74.346764,1,place,,,,,Westfield,NJ,"Union County",07090,US,"TIGER/Line® dataset from the US Census Bureau"
"New Jersey",Wyckoff,400,40.998387,-74.165733,1,place,,,,,Wyckoff,NJ,"Bergen County",07481,US,"TIGER/Line® dataset from the US Census Bureau"
"New Mexico",Albuquerque,10000,35.199592,-106.644831,1,place,,,,,Albuquerque,NM,"Bernalillo County",87101,US,"TIGER/Line® dataset from the US Census Bureau"
"New Mexico",Deming,48,32.079682,-107.683073,1,place,,,,,Deming,NM,"Luna County",88030,US,"TIGER/Line® dataset from the US Census Bureau"
"New Mexico","Las Cruces",1500,32.290052,-106.753893,1,place,,,,,"Las Cruces",NM,"Doña Ana County",88001,US,"TIGER/Line® dataset from the US Census Bureau"
"New Mexico","Santa Fe",12500,35.697473,-105.982146,1,place,,,,,"Santa Fe",NM,"Santa Fe County",87501,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Albany,7000,42.614852,-73.970812,1,place,,,,,Albany,NY,"Albany County",12201,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Binghamton,3000,42.165629,-75.890685,1,place,,,,,Binghamton,NY,"Broome County",13901,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Buffalo,4500,42.89606,-78.886424,1,place,,,,,Buffalo,NY,"Erie County",14201,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Canton,135,44.574484,-75.059713,1,place,,,,,Canton,NY,"St. Lawrence County",13617,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Cobleskill,350,42.67785,-74.48542,1,place,,,,,Cobleskill,NY,"Schoharie County",12043,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Cooperstown,200,42.714065,-74.890929,1,place,,,,,Cooperstown,NY,"Otsego County",13326,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Delhi,200,42.293718,-74.920671,1,place,,,,,Delhi,NY,"Delaware County",13753,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Fredonia,70,42.412217,-79.319254,1,place,,,,,Fredonia,NY,"Chautauqua County",14063,US,"TIGER/Line® dataset from the US Census Bureau"
"New York","Glens Falls",1500,43.30952,-73.64401,1,place,,,,,"Glens Falls",NY,"Warren County",12801,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Hudson,2500,42.184313,-73.742997,1,place,,,,,Hudson,NY,"Columbia County",12534,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Ithaca,10000,42.402794,-76.483999,1,place,,,,,Ithaca,NY,"Tompkins County",14850,US,"TIGER/Line® dataset from the US Census Bureau"
"New York","Lewis County",236,44.27505,-73.56569,1,place,,,,,Lewis,NY,"Essex County",12950,US,"TIGER/Line® dataset from the US Census Bureau"
"New York","New York City",400000,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Oneonta,500,42.461688,-75.096727,1,place,,,,,Oneonta,NY,"Otsego County",13820,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Plattsburgh,200,44.704021,-73.471148,1,place,,,,,Plattsburgh,NY,"Clinton County",12901,US,"TIGER/Line® dataset from the US Census Bureau"
"New York","Port Jefferson",2000,40.94649,-73.06927,1,place,,,,,"Port Jefferson",NY,"Suffolk County",11777,US,"TIGER/Line® dataset from the US Census Bureau"
"New York","Port Jervis",425,41.37509,-74.69266,1,place,,,,,"Port Jervis",NY,"Orange County",12771,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Poughkeepsie,5000,41.701908,-73.911521,1,place,,,,,Poughkeepsie,NY,"Dutchess County",12601,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Rochester,1500,43.286024,-77.684264,1,place,,,,,Rochester,NY,"Monroe County",14601,US,"TIGER/Line® dataset from the US Census Bureau"
"New York","Sag Harbor",250,40.99788,-72.29258,1,place,,,,,"Sag Harbor",NY,"Suffolk County",11963,US,"TIGER/Line® dataset from the US Census Bureau"
"New York","Seneca Falls",10000,42.905264,-76.794921,1,place,,,,,"Seneca Falls",NY,"Seneca County",13148,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Syracuse,2000,43.02143,-76.197701,1,place,,,,,Syracuse,NY,"Onondaga County",13201,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Utica,100,43.077369,-75.233208,1,place,,,,,Utica,NY,"Oneida County",13501,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Watertown,250,43.968892,-75.906501,1,place,,,,,Watertown,NY,"Jefferson County",13601,US,"TIGER/Line® dataset from the US Census Bureau"
"New York",Woodstock,1000,42.04136,-74.11762,1,place,,,,,Woodstock,NY,"Ulster County",12498,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina",Asheville,8500,35.602711,-82.567281,1,place,,,,,Asheville,NC,"Buncombe County",28801,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina","Black Mountain",100,35.6179,-82.32123,1,place,,,,,"Black Mountain",NC,"Buncombe County",28711,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina",Charlotte,25000,35.26002,-80.804151,1,place,,,,,Charlotte,NC,"Mecklenburg County",28201,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina",Greensboro,4500,36.069144,-79.765156,1,place,,,,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina",Hillsborough,0,36.077432,-79.085469,1,place,,,,,Hillsborough,NC,"Orange County",27278,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina",Mooresville,70,35.58458,-80.778871,1,place,,,,,Mooresville,NC,"Iredell County",28115,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina",Morganton,500,36.029833,-79.49161,0.8,place,,,,,Morgantown,NC,"Alamance County",27215,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina","New Bern",600,35.125849,-76.977181,1,place,,,,,"New Bern",NC,"Craven County",28560,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina",Raleigh,17000,35.773632,-78.634457,1,place,,,,,Raleigh,NC,"Wake County",27601,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina",Wilmington,3000,34.271985,-77.963628,1,place,,,,,Wilmington,NC,"New Hanover County",28401,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina",Winston-Salem,0,36.027482,-80.20728,1,place,,,,,Winston-Salem,NC,"Forsyth County",27150,US,"TIGER/Line® dataset from the US Census Bureau"
"North Dakota",Bismarck,500,46.816035,-100.700296,1,place,,,,,Bismarck,ND,"Burleigh County",58501,US,"TIGER/Line® dataset from the US Census Bureau"
"North Dakota",Fargo,3000,46.927094,-96.834703,1,place,,,,,Fargo,ND,"Cass County",58102,US,"TIGER/Line® dataset from the US Census Bureau"
"North Dakota","Grand Forks",304,47.866638,-97.141144,1,place,,,,,"Grand Forks",ND,"Grand Forks County",58201,US,"TIGER/Line® dataset from the US Census Bureau"
Ohio,Athens,175,39.339279,-82.013803,1,place,,,,,Athens,OH,"Athens County",45701,US,"TIGER/Line® dataset from the US Census Bureau"
Ohio,Chillicothe,1000,39.337384,-82.991332,1,place,,,,,Chillicothe,OH,"Ross County",45601,US,"TIGER/Line® dataset from the US Census Bureau"
